system.dt,system.mu,system.t_end,sample,run_id,git_hash,completed_at,tag_value,status
0.01,0.5,200.0,1,1829592,9391021,2026-04-08T12:45:47,2.0024879271222,done
0.01,0.5,200.0,2,1829592,9391021,2026-04-08T12:45:47,2.0024879176130774,done
0.01,0.5,200.0,3,1829592,9391021,2026-04-08T12:45:47,2.0024879294455142,done
0.01,0.5,200.0,4,1829592,9391021,2026-04-08T12:45:47,2.0024879222330685,done
0.01,0.5,200.0,5,1829592,9391021,2026-04-08T12:45:47,2.002487923370851,done
0.01,1.0,200.0,1,1829592,9391021,2026-04-08T12:45:47,2.0086196401244565,done
0.01,1.0,200.0,2,1829592,9391021,2026-04-08T12:45:47,2.008619716367988,done
0.01,1.0,200.0,3,1829592,9391021,2026-04-08T12:45:47,2.0086197533829075,done
0.01,1.0,200.0,4,1829592,9391021,2026-04-08T12:45:47,2.008619861537707,done
0.01,1.0,200.0,5,1829592,9391021,2026-04-08T12:45:47,2.008619745939482,done
0.01,2.0,200.0,1,1829592,9391021,2026-04-08T12:45:47,2.0198913867150936,done
0.01,2.0,200.0,2,1829592,9391021,2026-04-08T12:45:47,2.019891383670354,done
0.01,2.0,200.0,3,1829592,9391021,2026-04-08T12:45:47,2.0198885565711238,done
0.01,2.0,200.0,4,1829592,9391021,2026-04-08T12:45:47,2.0198913802576466,done
0.01,2.0,200.0,5,1829592,9391021,2026-04-08T12:45:47,2.0198891530233962,done
0.01,5.0,200.0,1,1829592,9391021,2026-04-08T12:45:47,2.0215081476259007,done
0.01,5.0,200.0,2,1829592,9391021,2026-04-08T12:45:47,2.0215081349190047,done
0.01,5.0,200.0,3,1829592,9391021,2026-04-08T12:45:47,2.0215081498002543,done
0.01,5.0,200.0,4,1829592,9391021,2026-04-08T12:45:47,2.0215081255917604,done
0.01,5.0,200.0,5,1829592,9391021,2026-04-08T12:45:47,2.021508114794306,done
